running build
running build_ext
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_copy 145db70
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 1460680
meminfo malloc_copy 1460680
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
